essay_id,para_id,para_types,para_text,adu_spans,ac_spans,ai_spans,AC_types,AR_pairs,AR_types
0,0,prompt,<prompt> Should students be taught to compete or to cooperate ? </prompt>,[],[],[],[],[],[]
0,1,intro,"<para-intro> It is always said that competition can effectively promote the development of economy . In order to survive in the competition , companies continue to improve their products and service , and as a result , the whole society prospers . However , when we discuss the issue of competition or cooperation , what we are concerned about is not the whole society , but the development of an individual ' s whole life . From this point of view , I firmly believe that <AC> we should attach more importance to cooperation during primary education </AC> . </para-intro>","[(76, 97)]","[(86, 97)]","[(76, 85)]",['MajorClaim'],[],[]
0,2,body,"<para-body> First of all , <AC> through cooperation , children can learn about interpersonal skills which are significant in the future life of all students </AC> . <AC> What we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others </AC> . <AC> During the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred </AC> . <AC> All of these skills help them to get on well with other people and will benefit them for the whole life </AC> . </para-body>","[(1, 25), (26, 55), (56, 99), (100, 123)]","[(5, 25), (27, 55), (57, 99), (101, 123)]","[(1, 4), (26, 26), (56, 56), (100, 100)]","['Claim', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3)]","['Support', 'Support', 'Support']"
0,3,body,"<para-body> On the other hand , <AC> the significance of competition is that how to become more excellence to gain the victory </AC> . Hence it is always said that <AC> competition makes the society more effective </AC> . However , <AC> when we consider about the question that how to win the game , we always find that we need the cooperation </AC> . The greater our goal is , the more competition we need . <AC> Take Olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </AC> . The winner is the athlete but the success belongs to the whole team . Therefore <AC> without the cooperation , there would be no victory of competition </AC> . </para-body>","[(1, 22), (24, 37), (39, 63), (76, 139), (155, 168)]","[(6, 22), (30, 37), (41, 63), (77, 139), (156, 168)]","[(1, 5), (24, 29), (39, 40), (76, 76), (155, 155)]","['Premise', 'Claim', 'Premise', 'Premise', 'Claim']","[(1, 0), (4, 2), (4, 3)]","['Support', 'Support', 'Support']"
0,4,conclusion,"<para-conclusion> Consequently , no matter from the view of individual development or the relationship between competition and cooperation we can receive the same conclusion that <AC> a more cooperative attitudes towards life is more profitable in one ' s success </AC> . </para-conclusion>","[(1, 40)]","[(25, 40)]","[(1, 24)]",['MajorClaim'],[],[]
1,5,prompt,<prompt> More people are migrating to other countries than ever before </prompt>,[],[],[],[],[],[]
1,6,intro,"<para-intro> The last 50 years have seen an increasing number of immigrants to other countries . People moved due to a number of reasons , namely better educations or higher salary jobs . Some people thought that they should follow the local customs in order to integrate into their adopted countries ’ cultures . However I strongly believe that <AC> they are able to sustain their cultural identities and doing so help they keep their origin values </AC> . </para-intro>","[(54, 77)]","[(59, 77)]","[(54, 58)]",['MajorClaim'],[],[]
1,7,body,"<para-body> Firstly , <AC> maintaining one ’ s cultural identity is a key important rule to help individuals emerge in the new multicultural environments </AC> . <AC> Take Australia for example , immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues </AC> . <AC> Many Australians come this day to enjoy the shows , learn about the cultures and admire the diverse values </AC> . <AC> These feedbacks , in turn , help raise one ’ s pride of their cultures and help people understand each other more </AC> . Thus this makes it clear that <AC> sustaining the cultural values of immigrants is paramount essential </AC> . </para-body>","[(1, 24), (25, 60), (61, 82), (83, 107), (109, 125)]","[(3, 24), (26, 60), (62, 82), (84, 107), (115, 125)]","[(1, 2), (25, 25), (61, 61), (83, 83), (109, 114)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[(4, 0), (4, 1), (4, 2), (4, 3)]","['Support', 'Support', 'Support', 'Support']"
1,8,body,"<para-body> Secondly , <AC> it is crucial to keep one ’ s identity </AC> for <AC> they need a connection back to their country as well as teach their children their value of origin </AC> . For instance , <AC> children immigrated to a new country will face social troubles in school with new friends </AC> . <AC> In this new environment , parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home </AC> . <AC> Fail to create this familiarity makes them felt isolated , in the extreme can lead to social disorder like autism </AC> . Hence , it is clear that <AC> keeping the cultural traditions in the destination countries is tremendous important </AC> . </para-body>","[(1, 13), (14, 34), (36, 55), (56, 86), (87, 109), (111, 129)]","[(3, 13), (15, 34), (39, 55), (57, 86), (88, 109), (117, 129)]","[(1, 2), (14, 14), (36, 38), (56, 56), (87, 87), (111, 116)]","['Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[(5, 0), (0, 1), (5, 2), (5, 3), (5, 4)]","['Support', 'Support', 'Support', 'Support', 'Support']"
1,9,conclusion,"<para-conclusion> To conclude , although <AC> there are opposing ideas of neglecting one ’ s cultural values to adapt in the new cultures </AC> . As far as I am concerned , <AC> sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society </AC> . </para-conclusion>","[(1, 23), (25, 54)]","[(5, 23), (32, 54)]","[(1, 4), (25, 31)]","['Claim', 'MajorClaim']",[],[]
2,10,prompt,<prompt> International tourism is now more common than ever before </prompt>,[],[],[],[],[],[]
2,11,intro,"<para-intro> The last decade has seen an increasing number of tourists traveling to visit natural wonder sights , ancient heritages and different cultures around the world . While some people might think that this international tourism has negative effects on the destination countries , I would contend that <AC> it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations </AC> . </para-intro>","[(27, 68)]","[(48, 68)]","[(27, 47)]",['MajorClaim'],[],[]
2,12,body,"<para-body> Firstly , <AC> international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists </AC> . <AC> Take Cambodia for example , a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores </AC> . <AC> These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard </AC> . Therefore <AC> tourism has clearly improved lives in the tourist country </AC> . </para-body>","[(1, 24), (25, 56), (57, 82), (84, 95)]","[(3, 24), (26, 56), (58, 82), (85, 95)]","[(1, 2), (25, 25), (57, 57), (84, 84)]","['Premise', 'Premise', 'Premise', 'Claim']","[(3, 0), (3, 1), (3, 2)]","['Support', 'Support', 'Support']"
2,13,body,"<para-body> Secondly , <AC> through tourism industry , many cultural values have been preserved and natural environments have been protected </AC> . For instance , <AC> in Vietnam , many cultural costumes and natural scenes , namely ‘ Trong Dong ’ drum performance and ‘ Ha Long ’ bay , are being encouraged to preserve and funded by the tourism ministry </AC> . <AC> Without this support and profit from tourism , many traditional cultures would disappear due to its low income works </AC> . Thus , <AC> tourism has survived many non - tangible cultural values and beauty scenes </AC> . </para-body>","[(1, 20), (22, 61), (62, 83), (85, 100)]","[(3, 20), (25, 61), (63, 83), (87, 100)]","[(1, 2), (22, 24), (62, 62), (85, 86)]","['Premise', 'Premise', 'Premise', 'Claim']","[(3, 0), (3, 1), (3, 2)]","['Support', 'Support', 'Support']"
2,14,conclusion,"<para-conclusion> To conclude , as far as I am concerned , <AC> international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries </AC> . In addition , the authorities should adequately support these sustainable developments . </para-conclusion>","[(1, 29)]","[(11, 29)]","[(1, 10)]",['MajorClaim'],[],[]
3,15,prompt,<prompt> Will newspapers become a thing of the past ? </prompt>,[],[],[],[],[],[]
3,16,intro,"<para-intro> The internet has been more and more popular for recent years , providing people with a huge source of information . As a result of this , print media such as newspapers have experienced a dramatic decline in the number of readers . Some people , however , still believe that they can exist for long time ; others disagree , arguing that <AC> newspapers have lost their competitive advantage to sustain their prolonged existence </AC> . Personally , I am inclined to agree with the latter view for following reasons . </para-intro>","[(44, 76)]","[(64, 76)]","[(44, 63)]",['MajorClaim'],[],[]
3,17,body,"<para-body> First of all , <AC> to obtain information , using the internet is quicker and more convenient than reading newspapers </AC> . <AC> Contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime </AC> . <AC> As can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages </AC> . Hence , <AC> the print media has failed to keep its important role in the provision of information </AC> . </para-body>","[(1, 21), (22, 66), (67, 108), (110, 128)]","[(5, 21), (23, 66), (68, 108), (112, 128)]","[(1, 4), (22, 22), (67, 67), (110, 111)]","['Premise', 'Premise', 'Premise', 'Claim']","[(3, 0), (3, 1), (3, 2)]","['Support', 'Support', 'Support']"
3,18,body,"<para-body> Another point is that , <AC> from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one </AC> . It is clear to recognize that <AC> the internet service is being provided at a low cost or even free in many countries </AC> . The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ? <AC> The answer , perhaps , is that hardly would rational people do so </AC> . For this reason , <AC> the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time </AC> . </para-body>","[(1, 29), (31, 54), (89, 104), (106, 135)]","[(6, 29), (37, 54), (90, 104), (110, 135)]","[(1, 5), (31, 36), (89, 89), (106, 109)]","['Premise', 'Premise', 'Premise', 'Claim']","[(3, 0), (3, 1), (3, 2)]","['Support', 'Support', 'Support']"
3,19,body,"<para-body> Last , but not least , <AC> when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down </AC> . <AC> This is simply the contributor to the deforestation which is happening all over the world today </AC> . At this point , <AC> newspapers ' production will have to face environmentalists on its way to be alive </AC> . </para-body>","[(1, 30), (31, 49), (51, 70)]","[(7, 30), (32, 49), (55, 70)]","[(1, 6), (31, 31), (51, 54)]","['Premise', 'Premise', 'Claim']","[(2, 0), (2, 1)]","['Support', 'Support']"
3,20,conclusion,"<para-conclusion> In conclusion , it might be unpleasant for some advocating newspapers to witness the extinction of the type of media . However , this , if occurring , should be seen as a result of the ever - increasing innovations in media technology and in our modern life as a whole . </para-conclusion>",[],[],[],[],[],[]
4,21,prompt,"<prompt> Government budget focus , young children or university ? </prompt>",[],[],[],[],[],[]
4,22,intro,"<para-intro> "" Education is the investment in our future "", as Senator Bernie Sanders once pointed out , education , which fosters a civilized society , plays a significant role in a country ' s long - lasting prosperity . It is no wonder that governments throughout the world lay special emphasis on education development . As for the two integral components within the system , elementary and advanced education , there ' s no doubt that <AC> a government is supposed to offer sufficient financial support for both </AC> . </para-intro>","[(56, 89)]","[(77, 89)]","[(56, 76)]",['MajorClaim'],[],[]
